gene	conMean	treatMean	logFC	pValue	fdr
PLEK2	4.69608258	3.93521192029412	-0.760870659705882	1.38124556121124e-05	2.07739520554723e-05
MCM4	2.52132972	3.71528554430481	1.19395582430481	7.58530389035116e-25	1.20722503177427e-23
SLC16A6	2.01980536	2.13884612751337	0.119040767513369	0.102070770374346	0.112924738817209
SMPD3	2.50416834	2.17485409080214	-0.329314249197861	4.3055158748575e-17	1.66363174639616e-16
GJA1	3.40014534	4.29646342673797	0.896318086737968	1.75147822898834e-10	3.78722330395447e-10
USP36	2.86903224	3.68906210152406	0.820029861524064	5.07922925880616e-19	2.4264376442961e-18
ZBTB39	2.30921178	2.63662678227273	0.327415002272727	3.05459288544506e-12	7.48023813616197e-12
TMPRSS5	1.90212588	2.04129358318182	0.139167703181818	1.580206893875e-15	5.1679660012062e-15
KPNB1	4.9956589	5.79343952430481	0.797780624304814	1.0726189865298e-19	5.58634640802932e-19
TAT	8.3690713	6.39298930096257	-1.97608199903743	2.11815869023062e-09	4.20631648174619e-09
TAOK3	3.45747976	3.81665661631016	0.35917685631016	3.1343041392088e-10	6.62011201856321e-10
CIB1	6.99938876	7.41739974491979	0.418010984919785	1.97883115278027e-09	3.93848931331864e-09
ADAMTSL4	2.97166388	3.11582108601604	0.144157206016043	0.169319306914063	0.182657234730327
METRN	3.25268664	3.53195123069519	0.279264590695187	0.00122791669483805	0.00159973276777352
EIF4G2	5.7550702	6.14728387700535	0.392213677005348	4.91029124548528e-10	1.02149323060225e-09
SLC7A4	2.09367032	2.01428533291444	-0.0793849870855619	1.66337144571885e-16	6.02648071371395e-16
ERP29	7.59476598	7.81406364462567	0.219297664625668	0.000439861519501345	0.000591459400480344
CDK5RAP1	3.54592384	4.40502690703209	0.859103067032085	1.71618472794662e-28	4.19443050011291e-26
P2RY10	1.8870305	1.85584486165775	-0.031185638342246	0.00527744889867807	0.00653338558122262
SPON1	2.65076464	2.60843243002674	-0.0423322099732624	0.00242920458952459	0.00309850868187989
TCF7L1	3.62529842	4.01734501508021	0.392046595080214	0.000280255518408809	0.000382611591051779
MGMT	6.5395134	6.26794197574866	-0.271571424251337	0.0100621271519031	0.012166840401473
PART1	1.88705578	1.98563807574866	0.0985822957486631	1.37816853103879e-06	2.22955359609261e-06
MRPL23	5.38149748	6.01206178379679	0.630564303796791	2.9190398162243e-15	9.29148781863396e-15
TRIM36	1.7204344	1.82655060756684	0.106116207566845	0.00737625303910398	0.00903667726690783
ITGA7	2.71829392	3.25958449114973	0.541290571149733	4.30778003231485e-13	1.12876360205984e-12
KPNA1	4.03672018	4.26829684890374	0.231576668903744	6.80216677119605e-05	9.71753826459238e-05
GRM6	1.84846334	1.87001334596257	0.0215500059625668	0.776176458499507	0.784884563013869
HOXB5	2.2018876	2.32845084363636	0.126563243636364	0.00401225716584034	0.0050220019194938
CACYBP	4.04218558	5.22438857516043	1.18220299516043	6.00484863221956e-27	2.61284866839386e-25
RPL41	6.75267866	7.77548587296791	1.02280721296791	3.47281112227093e-11	7.89177788603528e-11
MAP2K2	3.96788584	4.81179247331551	0.843906633315508	3.13718974269599e-26	9.05581601216787e-25
ZNF223	2.12129144	2.31345064457219	0.192159204572193	4.00396258921705e-09	7.79523948656694e-09
ABLIM3	5.81633404	5.1834559642246	-0.632878075775401	8.39110230650198e-06	1.27923035335402e-05
ENO1	7.07402896	7.9532858023262	0.879256842326203	1.91805994876002e-12	4.77380206463715e-12
ITPKA	2.09932638	3.15809417080214	1.05876779080214	5.55187928861847e-18	2.36108568879956e-17
F11R	5.99658854	6.62935711080214	0.632768570802138	1.81843983416931e-08	3.38082068095507e-08
LDB3	1.99431144	2.07082329080214	0.0765118508021392	2.59867678712563e-07	4.4415851510605e-07
WWOX	3.35143464	3.44275090457219	0.0913162645721926	0.20105583670836	0.215551184081192
GGA2	3.19644982	3.78041117106952	0.583961351069519	3.03487043771143e-20	1.72281558973683e-19
LRP5L	2.7612513	3.27570423893048	0.514452938930481	1.58933975850546e-13	4.34229449021922e-13
CLIC2	3.06683936	3.04286043911765	-0.0239789208823527	0.0854901808324826	0.0952611034809283
PQBP1	4.52658398	5.29921049171123	0.772626511711231	9.33931367673371e-24	1.06857717236514e-22
GDPD2	2.37789048	2.47662810622995	0.0987376262299464	4.57846402270009e-10	9.54486021064666e-10
CLINT1	5.65954114	5.76246401	0.10292287	0.0240292772608946	0.0281089400139693
MAFK	3.01267844	3.03007575122995	0.0173973112299461	0.69825198508071	0.709252505084856
