gene	conMean	treatMean	logFC	pValue	fdr
PLEK2	4.69608258	3.93521192029412	-0.760870659705882	1.38124556121124e-05	2.07739520554723e-05
MCM4	2.52132972	3.71528554430481	1.19395582430481	7.58530389035116e-25	1.20722503177427e-23
GJA1	3.40014534	4.29646342673797	0.896318086737968	1.75147822898834e-10	3.78722330395447e-10
USP36	2.86903224	3.68906210152406	0.820029861524064	5.07922925880616e-19	2.4264376442961e-18
KPNB1	4.9956589	5.79343952430481	0.797780624304814	1.0726189865298e-19	5.58634640802932e-19
TAT	8.3690713	6.39298930096257	-1.97608199903743	2.11815869023062e-09	4.20631648174619e-09
CDK5RAP1	3.54592384	4.40502690703209	0.859103067032085	1.71618472794662e-28	4.19443050011291e-26
MRPL23	5.38149748	6.01206178379679	0.630564303796791	2.9190398162243e-15	9.29148781863396e-15
CACYBP	4.04218558	5.22438857516043	1.18220299516043	6.00484863221956e-27	2.61284866839386e-25
RPL41	6.75267866	7.77548587296791	1.02280721296791	3.47281112227093e-11	7.89177788603528e-11
MAP2K2	3.96788584	4.81179247331551	0.843906633315508	3.13718974269599e-26	9.05581601216787e-25
ABLIM3	5.81633404	5.1834559642246	-0.632878075775401	8.39110230650198e-06	1.27923035335402e-05
ENO1	7.07402896	7.9532858023262	0.879256842326203	1.91805994876002e-12	4.77380206463715e-12
ITPKA	2.09932638	3.15809417080214	1.05876779080214	5.55187928861847e-18	2.36108568879956e-17
F11R	5.99658854	6.62935711080214	0.632768570802138	1.81843983416931e-08	3.38082068095507e-08
PQBP1	4.52658398	5.29921049171123	0.772626511711231	9.33931367673371e-24	1.06857717236514e-22
CDH13	1.74859964	2.34427968347594	0.595680043475936	2.96677675538593e-28	4.48849311940884e-26
TSC2	3.18531818	3.87792972545455	0.692611545454545	4.50886675169894e-22	3.47528970486533e-21
ASPSCR1	3.46836192	4.39834752382353	0.92998560382353	9.12526641527067e-22	6.71136371740931e-21
EIF2S2	5.05767722	5.82873762385027	0.771060403850267	7.10437490533296e-22	5.33160098035735e-21
MARK4	3.47429774	4.62666281131016	1.15236507131016	1.30254030367658e-27	1.0272623662835e-25
DERL1	5.14685298	5.8339830578877	0.687130077887701	1.59870382607784e-17	6.45399949531333e-17
CDC25C	1.73218916	2.54224288874332	0.810053728743316	2.62349384453199e-28	4.29135576458353e-26
ALDOA	6.42264314	7.68313760454545	1.26049446454545	2.0827424208286e-19	1.05004930383442e-18
ZMYM3	4.02838096	4.7815907376738	0.753209777673797	3.5623458322895e-20	1.98901395300968e-19
GATM	9.69772614	8.81578556465241	-0.881940575347594	1.14101088396242e-08	2.15353614060685e-08
CCDC22	3.19021886	3.87473445433155	0.684515594331551	3.79131574089456e-24	4.86754243304094e-23
STXBP6	2.0085004	2.6822011336631	0.673700733663102	1.0633301027028e-20	6.48198398700748e-20
AHSG	11.80719408	10.8267382555348	-0.98045582446524	4.61610418383631e-06	7.17347787752043e-06
ORMDL2	4.50683858	5.65133170302139	1.14449312302139	5.80624198955591e-26	1.47799814103018e-24
YTHDF1	5.29372962	5.95161909072193	0.657889470721925	1.78884555348974e-20	1.04989187866943e-19
RPN2	7.58938862	8.64818538975936	1.05879676975936	3.35004781900277e-26	9.48428602091393e-25
MAN1C1	4.71224972	3.48981781609626	-1.22243190390374	8.8351274226516e-17	3.29285571832412e-16
NDUFA4L2	2.19560128	3.80759404101604	1.61199276101604	2.02297067801225e-28	4.19443050011291e-26
PLXNA1	2.663448	3.35430400799465	0.690856007994653	1.53225950626747e-17	6.20277186932198e-17
ASNA1	4.34213168	5.49831085181818	1.15617917181818	2.5089063545864e-26	7.48688169934516e-25
HDAC11	2.31177604	3.35150752815508	1.03973148815508	1.68266112664378e-27	1.19862465577778e-25
HMMR	1.83684098	3.2109674644385	1.3741264844385	4.53810608483368e-27	2.17853755692043e-25
CCNB1	1.68184988	4.08513938446524	2.40328950446524	2.73333652720937e-28	4.38973846269825e-26
IGFBP1	10.7299687	9.29485222572193	-1.43511647427808	3.71703659641685e-09	7.25581972511603e-09
CIC	3.42274886	4.12957405109626	0.706825191096257	1.74123483911825e-18	7.76000370026817e-18
ABCC5	2.43439478	3.28445932946524	0.850064549465241	5.88213875320192e-24	7.16647332510794e-23
WASF1	2.86100198	3.57273313406417	0.711731154064171	3.00165024396331e-12	7.36079306077954e-12
ABI1	4.17149658	4.88343978893048	0.711943208930481	1.02253134955587e-17	4.24038469982488e-17
TOR3A	3.817505	4.90646053018717	1.08895553018717	1.2960246766452e-18	5.88575114077483e-18
