id	TCGA-DD-A11B-11A	TCGA-DD-A39Z-11A	TCGA-BC-A112-11A	TCGA-DD-A115-11A	TCGA-FV-A2QR-11A	TCGA-DD-A1EI-11A	TCGA-DD-A39W-11A	TCGA-BC-A10Q-11A	TCGA-DD-A1E9-11A	TCGA-BD-A3EP-11A	TCGA-BC-A10U-11A	TCGA-G3-A25X-11A	TCGA-DD-A1EC-11A	TCGA-EP-A12J-11A	TCGA-BC-A10T-11A	TCGA-DD-A39V-11A	TCGA-FV-A23B-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EL-11A	TCGA-BC-A10S-11A	TCGA-DD-A113-11A	TCGA-BC-A216-11A	TCGA-DD-A3A2-11A	TCGA-DD-A119-11A	TCGA-DD-A1EE-11A	TCGA-DD-A114-11A	TCGA-G3-A25W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11C-11A	TCGA-ES-A2HT-11A	TCGA-EP-A26S-11A	TCGA-BC-A10Y-11A	TCGA-ES-A2HS-11A	TCGA-DD-A11D-11A	TCGA-DD-A1EB-11A	TCGA-DD-A116-11A	TCGA-DD-A1EJ-11A	TCGA-DD-A3A3-11A	TCGA-DD-A118-11A	TCGA-DD-A1EF-11A	TCGA-DD-A11A-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1ED-11A	TCGA-BC-A110-11A	TCGA-DD-A1EG-11A	TCGA-BC-A10R-11A	TCGA-DD-A39X-11A	TCGA-BD-A2L6-11A	TCGA-BC-A10W-11A
PAFAH1B3	0.161544187986995	0.204313106089964	0.161894481138274	0.236834677397078	0.171613018435567	0.216860023844784	0.205417393424884	0.23422655790353	0.231026328030646	0.202606879533851	0.213346952334361	0.15873776720233	0.174620743998919	0.126520033334166	0.201227600801861	0.180247285544842	0.159675301304942	0.2196660297387	0.240518135130896	0.367271157436556	0.229772404836084	0.235442502981204	0.233325794462843	0.233684757175624	0.156054093457261	0.118342986347956	0.2193820462021	0.200517782214733	0.193197079121084	0.248772562147927	0.11368693719446	0.180327194405211	0.222421324703146	0.166618218205832	0.140626989024835	0.22563318847408	0.17615408115546	0.232743661087734	0.159131196415766	0.240730145544189	0.185347144215612	0.209499502601221	0.222331223398846	0.241847215695104	0.238592433650701	0.16479862203721	0.220772501832548	0.243121517452299	0.191919314373533	0.232352769620235
ATF5	0.229469751849691	0.229350325742739	0.235084982531205	0.226654921281307	0.23776595070757	0.225846689834548	0.227734509940241	0.225282025131673	0.235293548775487	0.20530820206705	0.217206612115392	0.241290002592637	0.21841065875657	0.237886938246448	0.234778948512159	0.239105064343448	0.219694185125609	0.219928199243952	0.229532451423145	0.200021913905392	0.22445653538648	0.205059310737263	0.211415255953042	0.228189534023321	0.238158252471518	0.230101936191527	0.215315152066989	0.238007305544767	0.23244218532154	0.213241025198717	0.225572911370809	0.247563780725037	0.224782195582694	0.233325794462843	0.228834706896448	0.217906935564059	0.228277817642777	0.221428174320788	0.245866250947202	0.216542085936784	0.223423653293318	0.205836979966856	0.223565325826638	0.226899142250295	0.217175227175339	0.240887466527595	0.226086081194001	0.221693167626137	0.20916177140339	0.226932814168864
PPP2R5A	0.093470613796741	0.0924093827338484	0.0872491023826374	0.0858034490204081	0.0832483020358087	0.0747366574100866	0.0938137023121195	0.0824112791701258	0.0814081918111178	0.0780902603619777	0.0882343838552843	0.0904747905216692	0.101342768293365	0.0847132694701152	0.0881758138717277	0.0919383421562712	0.0718298577611704	0.0796123738667873	0.0828692196347191	0.0963192828252773	0.0885041000974354	0.0777631913576742	0.0904747905216692	0.0696414961041262	0.079532231438219	0.0900714943785847	0.0739165658265214	0.0912413002868415	0.0956755422227742	0.0652954449559952	0.0900714943785847	0.0931992612775892	0.0796314799905751	0.0968662096312916	0.0817812593784732	0.0739165658265214	0.0800216300452226	0.07921780632469	0.107001082567883	0.074814342836113	0.0740311078485027	0.0844721010755734	0.0802371887035054	0.0819343282131657	0.0824885046883889	0.0989677985480043	0.0902324053958829	0.0817812593784732	0.0699666394235606	0.0851135466385083
GSS	0.13219712206242	0.115063378196141	0.124311746935771	0.129766276400352	0.132929557987433	0.129766276400352	0.130151944635319	0.107944055976621	0.131133843150202	0.121799049546753	0.118078851309752	0.114708277084801	0.138399415253286	0.115930607413794	0.120235014159323	0.10894742802453	0.142374516454337	0.12139831940944	0.144019691125325	0.0857034411790366	0.127568780977458	0.118935170501517	0.109415752755742	0.129611091102588	0.116795704354958	0.128413455718949	0.116752242163344	0.114270776517971	0.134609458210217	0.116579643196354	0.135240330894969	0.132425712040236	0.128122162576404	0.125633713402795	0.12850844742809	0.123846258541643	0.117993046123533	0.130844848530317	0.127069692427606	0.123264624699609	0.126300807817093	0.171156957481968	0.119794732259923	0.131926595111226	0.120060581294363	0.118912761918379	0.127519169185199	0.114953402690814	0.0979729155413426	0.126323391580631
ITIH1	0.39756191634196	0.376608107006862	0.37803407859062	0.359848115445949	0.389509972251122	0.363556566991587	0.34636733906263	0.335014440363817	0.389730027498576	0.369676112217302	0.394333164830191	0.40895917474936	0.35822479471902	0.451689859540348	0.351949836716557	0.394872452712609	0.426157475415604	0.371032577918023	0.423821162231766	0.341154980597469	0.333392045302335	0.332041969616323	0.351635626833188	0.358145924473011	0.393393325030885	0.472869138737769	0.375859206634013	0.389730027498576	0.404133507718608	0.339172127710247	0.495323172533607	0.427270974336848	0.377829237432817	0.388786940415539	0.407956448499122	0.339734288038125	0.422324533396066	0.333739717661427	0.398167480742333	0.323356133578213	0.393695538849608	0.406434747769914	0.359529399120937	0.352545192754039	0.343716023795306	0.414236486697792	0.375940494206355	0.315511297706847	0.397221518833382	0.405911778435537
PTGES3	0.0223662515551846	0.0420856661911549	0.0552667624852248	0.0467531409938648	0.0301471014974681	0.0499181743999287	0.0422602829777745	0.0226155874873528	0.0186566431573538	0.0276528953832809	0.0473682018537013	0.0322882341201862	0.0393024086453134	0.048464416766423	0.0569995702809054	0.0440974266024297	0.0208650902921858	0.0459550714810842	0.0115550798556387	0.0354531545272959	0.0210534168240891	0.0491426383231218	0.0292325643017073	0.0577366236820665	0.0480925977957794	0.0445419427394745	0.0199670747862405	0.0544822175598007	0.0539636626667969	0.047823605259721	0.0253143538894159	0.0175701941892571	0.0274822338449856	0.0229797979819796	0.0173381778641299	0.0451955069762616	0.0486258361810238	0.0245424406049383	0.0175701941892571	0.0403066709041138	0.0198573931665802	0.027058124778883	0.053323476051873	0.0185227398978655	0.0495709585083539	0.0226538157130056	0.0449466026391685	0.0435361033400057	0.0406174998350333	0.0598421376698503
RBM5	0.373881291492972	0.391172894904181	0.37416307477286	0.381819705408583	0.38508013098887	0.371972572722821	0.387846819094479	0.375940494206355	0.376146225230548	0.359568808363916	0.370121053423732	0.392827706055519	0.388702376550995	0.367106040349197	0.377456345068931	0.379198779545295	0.357498614354779	0.375731759112163	0.39202268137597	0.388063954865278	0.388280212637516	0.372135338486379	0.382071364634229	0.374900243448415	0.38246284678254	0.361446797001901	0.372890686974066	0.391815742858342	0.386796086193036	0.371847340716136	0.372890686974066	0.376990259098223	0.374492360236228	0.380354631387271	0.367187242391345	0.371728034690259	0.376946796233086	0.381864835708356	0.386542252521238	0.382200728905956	0.363392370335654	0.376946796233086	0.373511790363727	0.388280212637516	0.374368674740703	0.393437173440154	0.373137055191602	0.377626441116062	0.364113575315708	0.378909610439199
SCAP	0.120937561897836	0.162293812182827	0.120806945230094	0.103310021041873	0.11867080596856	0.118078851309752	0.147852816254988	0.109266160365768	0.113317909015706	0.116470995519083	0.111961142196571	0.13992849328023	0.133791072975037	0.1453005918233	0.129382690098994	0.135190900334629	0.112657860166358	0.123333072479621	0.128930858444715	0.184020966477209	0.122407823808786	0.0864832179673695	0.115275508122019	0.124356499536074	0.128485972956951	0.143597940969565	0.120126987104183	0.132315006646961	0.139246218052224	0.0951749715091889	0.149344923799505	0.128485972956951	0.103927528160236	0.135494135589778	0.134269527169278	0.112616217108811	0.120980412678464	0.100394836491184	0.145608446018451	0.100816512415702	0.137672935994525	0.111187281582559	0.11167820878484	0.117754976572623	0.0890121199926008	0.135745609306375	0.112002651540432	0.106354542244244	0.120432935677726	0.131970932342836
NEDD4L	0.383174194323585	0.411221272073456	0.382030192660663	0.426111903832373	0.391815742858342	0.384237514170451	0.375568061171738	0.407216250833154	0.434357167475883	0.411747000824404	0.413970800183881	0.392961714559206	0.41052103472961	0.364558045506243	0.407829025974894	0.395344960301377	0.396578685967142	0.417877911909294	0.443592459590332	0.442619610031056	0.432832651755727	0.421871092766894	0.4295537179008	0.448332481418197	0.38352059500945	0.361855916056316	0.406610185253921	0.414855320676848	0.404821308638677	0.447391359110532	0.369757178525526	0.394034734285383	0.423161749166392	0.387593173952043	0.396321741975812	0.416125743368943	0.381352884465204	0.390113642287823	0.397006014929343	0.398558853746927	0.415651247371731	0.419415466299708	0.421555188842489	0.412170934095841	0.427718842051719	0.383005874020053	0.422190351716563	0.403486929079019	0.417480209822051	0.435704802513317
POMGNT1	0.26338849288802	0.270217238424182	0.251265037636555	0.262277384526168	0.279450605217529	0.258852118097093	0.251363666379989	0.234560228999983	0.279996616205118	0.252252773230689	0.261275633583176	0.285418333095131	0.253903028412908	0.288993488941813	0.25895337311769	0.257105507669394	0.304589862805258	0.259632142757795	0.281701705040325	0.255707465403116	0.244428574656117	0.251772133257474	0.242286839845709	0.277342080702653	0.286493356994736	0.307190271871515	0.245061958098773	0.277981606677515	0.27540334383434	0.239678534636556	0.29626621232502	0.2894113009546	0.244397471659857	0.270122053759157	0.280644045446278	0.245372841294232	0.271901208770389	0.260981844013167	0.265879839373899	0.23889141637864	0.273409626173875	0.283882239470816	0.254151644786506	0.262571758551728	0.239370572098352	0.278151871120947	0.260145447796596	0.228218012742838	0.286275607030146	0.271075097204664
