id	TCGA-BD-A3EP-11A	TCGA-G3-A3CH-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11A-11A	TCGA-DD-A3A6-11A	TCGA-DD-A1EB-11A	TCGA-BC-A110-11A	TCGA-BC-A216-11A	TCGA-FV-A3R2-11A	TCGA-DD-A3A4-11A	TCGA-BC-A10Y-11A	TCGA-BC-A10W-11A	TCGA-DD-A119-11A	TCGA-DD-A1EC-11A	TCGA-DD-A1EJ-11A	TCGA-BC-A10R-11A	TCGA-FV-A3I1-11A	TCGA-BC-A10Q-11A	TCGA-FV-A23B-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1EG-11A	TCGA-DD-A11D-11A	TCGA-BC-A10T-11A	TCGA-ES-A2HT-11A	TCGA-EP-A3RK-11A	TCGA-FV-A2QR-11A	TCGA-DD-A11C-11A	TCGA-DD-A39W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A113-11A	TCGA-DD-A39X-11A	TCGA-DD-A3A5-11A	TCGA-DD-A3A2-11A	TCGA-EP-A12J-11A	TCGA-BC-A10U-11A	TCGA-DD-A118-11A	TCGA-DD-A1EL-11A	TCGA-DD-A3A3-11A	TCGA-DD-A116-11A	TCGA-DD-A1EI-11A	TCGA-BD-A2L6-11A	TCGA-FV-A3I0-11A	TCGA-DD-A1EE-11A	TCGA-DD-A3A8-11A	TCGA-DD-A11B-11A	TCGA-DD-A114-11A	TCGA-DD-A39Z-11A	TCGA-EP-A26S-11A	TCGA-DD-A39V-11A
PAFAH1B3	2.511603	2.33276	2.685582	2.455228	3.040037	2.765104	2.459711	2.387579	2.822846	3.022703	3.349524	2.61586	2.960584	2.626269	3.062943	2.87424	2.093108	2.228637	2.388994	2.959769	3.263581	2.464339	2.450234	2.407331	3.175095	2.435236	3.628433	2.856894	2.28344	3.673269	2.406901	3.205157	2.590549	2.485561	2.399912	2.462186	2.542661	2.56067	3.096803	2.487367	2.878977	3.197515	2.211742	2.993149	2.432847	2.459146	2.931292	3.250331	2.306359	2.555338
ATF5	8.112324	7.499249	8.576535	7.981409	6.695891	8.479724	8.459488	8.22097	8.335592	7.387147	9.132108	6.546043	7.852049	8.122442	8.068826	8.830052	8.173446	7.864519	7.811691	7.101025	8.271167	6.89384	8.33466	7.758554	6.044443	7.637389	6.555225	8.834245	8.384897	7.514994	8.405081	7.743812	8.536493	6.96817	7.145453	7.775267	7.828982	7.236987	6.796044	7.402642	8.036173	6.61962	8.507157	6.794521	7.766028	8.299143	7.15019	8.425964	7.863754	8.503112
PPP2R5A	4.450015	4.354351	4.572695	4.506448	4.695449	4.247074	4.608345	4.385093	4.721456	5.017943	5.170236	4.91788	4.474593	4.868803	4.747299	4.741244	4.517957	4.868185	4.613939	4.670566	4.913886	4.377857	4.56952	4.737656	4.756493	4.513728	4.764243	4.512747	4.338943	4.437444	4.669665	4.754176	4.672237	4.980759	4.823117	4.383899	4.919743	4.436402	4.787446	4.45707	4.225126	4.827162	4.348137	4.807048	3.912555	4.300765	4.597307	4.811038	4.621919	4.51265
GSS	5.35434	5.534176	5.385107	5.389457	5.214496	5.201663	5.331588	5.194679	5.01772	5.22395	5.678667	5.283392	5.612647	5.059553	4.97262	5.420782	5.457924	5.07264	5.402213	5.865798	5.439268	5.525057	5.586941	5.101665	6.063308	5.133527	5.757415	5.6462	5.364421	5.857778	5.472957	5.320745	5.306008	5.23713	5.980714	5.356219	5.26906	5.63904	5.090812	5.653802	5.734002	5.538946	5.163873	5.495674	5.783736	5.431475	5.893143	5.263708	5.157226	5.520111
ITIH1	10.216881	10.198274	10.046758	9.827723	10.236551	9.947296	10.472367	10.373635	9.97074	10.216499	9.98935	10.159798	9.422466	10.350998	10.507754	10.095882	10.184107	10.509281	10.323862	10.064448	9.751795	10.033913	9.591014	10.069561	9.184551	10.063214	9.874885	10.254415	10.442261	10.162071	9.883783	10.388985	10.496358	10.250107	9.388952	9.94999	9.615135	9.780049	10.294233	9.983869	10.199449	9.608377	10.453263	10.096685	10.28575	9.950749	9.184589	10.205793	10.257932	10.23676
PTGES3	7.572331	7.282865	7.408557	7.301455	7.432388	7.175746	7.509942	7.37476	7.313549	7.888591	8.408135	7.995657	7.103907	7.366791	7.657607	7.649832	7.157924	7.613061	7.032942	7.603062	8.155298	7.125441	7.779374	7.620981	8.000298	7.373719	7.669718	7.210383	7.652902	7.368328	7.484509	7.272128	7.250484	7.591952	7.651163	7.097717	7.723375	7.270753	7.792646	7.253232	7.361049	7.643281	7.163108	7.378614	7.260745	7.127147	7.64768	7.111001	7.665175	7.237291
RBM5	3.961285	4.007996	4.040013	3.921912	3.951239	3.255125	4.109315	4.178659	3.802275	4.329495	4.605742	4.346418	4.131205	3.85161	4.123161	4.050374	3.77319	4.30908	4.058181	4.549996	4.55775	3.976375	4.238197	3.821902	4.270232	4.112995	4.422784	4.38159	4.022551	3.960613	3.878208	3.995714	3.980217	4.189085	3.856592	4.002472	3.899057	4.123069	3.975359	4.172606	3.979081	4.836374	3.855015	4.183102	3.429997	3.906223	4.35288	4.133102	3.605124	3.954232
SCAP	5.946331	5.622541	4.274288	4.967082	5.075943	4.785721	5.25116	4.653897	4.98851	6.132767	5.907249	5.654824	5.058188	4.904249	5.714913	5.248584	5.389482	5.689326	5.309448	5.647536	5.439707	5.463257	5.583036	4.765909	5.955115	5.497157	5.496708	5.592287	5.29918	5.741663	5.141779	5.480415	5.42525	5.449583	6.439996	5.114268	5.112144	5.875551	5.443304	5.531046	5.493315	5.3092	5.056569	5.886855	5.89838	6.137222	5.929151	5.092174	5.738164	5.093477
NEDD4L	2.284002	2.709157	2.551679	2.685481	2.386044	2.171118	2.543591	2.443933	2.404439	2.819962	2.854992	2.975805	3.209574	2.550462	2.268977	2.92725	3.319395	2.193966	2.870075	2.798913	2.696274	2.677045	2.770127	2.540263	2.878153	2.493414	3.349088	2.283768	2.298022	2.795558	2.334227	2.42292	2.139796	2.60087	3.024988	3.055706	2.501703	3.025417	2.99223	2.871039	2.681164	2.798482	2.640021	2.919689	2.699179	2.768809	3.562167	2.177023	2.366355	2.176273
POMGNT1	4.010842	4.052482	3.335268	3.713928	4.141772	3.510691	4.014574	3.857748	3.916026	4.4258	4.501715	4.12522	3.780349	3.863122	4.044043	3.987783	3.943945	4.026457	3.823844	4.289033	4.055365	3.787585	3.914308	3.475809	4.450245	3.93259	4.385981	4.26332	3.967052	4.381193	3.852037	4.087543	4.067105	4.110707	4.170274	3.782143	4.087918	4.380222	4.044817	4.076757	4.069004	4.050144	3.525783	4.285999	4.245812	4.411357	4.335342	3.90238	4.01987	4.119803
TUBB2A	7.464149	5.463308	6.330463	6.351914	6.641205	6.156919	6.902357	6.213113	4.811093	6.361151	7.448187	6.367208	6.732915	6.460328	5.552375	6.963492	6.495091	5.605054	6.004542	6.458536	7.558302	6.212052	5.351308	6.672413	7.573513	5.802038	7.326576	6.296474	5.980559	6.054549	6.84441	6.496558	6.662313	5.068807	7.107059	6.1993	6.259068	6.756321	5.80536	5.556616	6.047933	5.972327	7.019874	5.704148	5.785229	6.285399	5.505413	6.720775	6.158051	6.232905
SCAMP2	4.65622	4.887194	4.466455	4.573167	4.600425	4.819333	4.890164	4.524031	4.458089	4.977653	5.377258	4.872871	4.649267	4.750828	4.67837	4.77627	4.57266	4.557776	4.411376	4.842898	4.844389	4.463578	4.806382	4.349222	5.238838	4.655957	5.057454	4.866301	4.881723	4.710905	4.530912	4.603114	4.615476	4.401676	4.955717	4.407582	4.387194	4.602908	4.913452	4.410379	4.52531	5.224704	4.559217	4.715893	4.904608	4.635389	5.003484	4.631974	4.732097	4.402849
ADRM1	6.355156	6.011229	5.726976	5.986814	5.695237	6.191256	6.217803	6.352114	5.434361	6.147305	6.73703	5.705457	6.056073	5.839698	5.460115	5.977156	5.721915	5.787335	5.955564	5.956064	6.288338	6.066766	5.776132	5.6766	6.254133	5.741078	6.195769	5.98709	5.91012	6.555382	6.078094	6.031835	6.136755	5.418981	5.93335	5.428816	5.735785	6.071827	6.098187	5.638341	5.705402	5.856913	5.996769	5.598097	6.543752	5.689516	5.664402	5.965468	5.684291	6.02639
ADAM10	2.811073	2.730082	2.98507	2.707172	3.2875	2.127473	2.988319	2.864746	2.707333	2.673544	3.105862	3.161701	2.94452	3.13653	3.111319	3.051521	2.806683	2.805526	2.774096	2.92567	2.945689	2.537028	3.099598	2.810503	3.249083	2.524769	3.378379	2.697102	2.527017	2.299756	2.734121	2.571362	2.386052	2.527098	3.299835	2.920536	2.759361	2.922093	2.744144	2.593999	2.861641	3.102064	2.505969	3.065797	2.1731	2.741531	3.530912	2.43761	2.488207	2.534024
