Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-BD-A3EP-11A-12R-A22L-07	0.0656946113274497	0	0	0.0637794533470929	0	0.223867713369855	0	0.00152812813414163	0.0472750613230097	0.0129228375055751	0	0.0844522821602382	0.0517122782192649	0.0504998594413117	0.0842277082721545	0.19531541687334	0.0551192397992146	0	0	0.0444154682169009	0	0.0191899420104512	0.198	0.0643238274199457	1.06045754634255
TCGA-G3-A3CH-11A-11R-A22L-07	0.090893821535705	0	0.0325294157859248	0.221951056263278	0	0.208425043663816	0	0.00918621953567739	0.0307061794596657	0.00510493507757043	0.0231568675510484	0	0.0151305735618829	0.00445193722970395	0.118294332889404	0.21206125807807	0.000705202795255213	0	0.0202586179131446	0	0	0.007144538659854	0.075	0.124300048685947	1.0470937881755
TCGA-BC-A10X-11A-11R-A131-07	0.0478449178475387	0	0	0.0660103019801231	0	0.194123171669075	0	0	0.00170146150557758	0.0782643781496498	0.00735476936688774	0.040590867243128	0.0820715871985554	0.0452709238376289	0.0737333690184468	0.353069570001876	0	0	0	0.00918770284099943	0	0.000776979340513462	0.36	0.0281434163072754	1.08077505944154
TCGA-DD-A1EH-11A-11R-A131-07	0.0912825101916552	0	0.00507919306045888	0.160413246722841	0	0.21738387822146	0	0.0274472836783933	0	0.0185532441090477	0	0.0234400099998949	0.0144313822067724	0.025911007913675	0.110473875740336	0.279758303957925	0	0	0	0.0181027186360437	0	0.00772334556149766	0.21	0.0603231169906747	1.07032096286993
TCGA-DD-A11A-11A-11R-A131-07	0.047822181655022	0	0.00616211147596682	0.0899990673629477	0	0.188885037575074	0	0.00159055967669656	0	0.0119691338494014	0	0.0648173629651512	0.142962517962581	0.101805788760777	0.0279686470226719	0.28460215468411	0	0	0.0273479740685797	0	0	0.00406746294101966	0.205	0.0627324295700848	1.06068010170107
TCGA-DD-A3A6-11A-11R-A22L-07	0.280433757182435	0	0.0409035468594881	0.0957572594066216	0	0.0920989992596642	0	0.0325061163736441	0	0.02420391092104	0.0209696165446125	0	0.00977873352521418	0.0561797693036144	0.11679043690507	0.0892921841340378	0.00240753478436393	0	0.138678134800194	0	0	0	0.55	0.00422873449748965	1.09902601857239
TCGA-DD-A1EB-11A-11R-A131-07	0.0853298454420041	0	0.0124957623539927	0.170416222963972	0	0.15567834335252	0	0.0315368399447287	0	0	0.023078242561702	0.00846000106482064	0.0467583050149275	0.00699254062329688	0.136868602599864	0.254061707967313	0.00605495598178781	0	0.0437915067275955	0	0	0.0184771234014756	0.331	0.034104965419925	1.07527679334994
TCGA-BC-A110-11A-11R-A131-07	0.0199514828202883	0	0.0045437246967804	0.0497608551790736	0	0.183935322540385	0	0.00826176457224383	0	0	0.0429176687034567	0.0224924915920716	0.205688508531114	0.0170377508586859	0.0793722731293622	0.308053128747725	0	0	0.0213054697042918	0	0.00612016685549922	0.0305593920690235	0.271	0.0442548605615622	1.06996875645463
TCGA-BC-A216-11A-11R-A155-07	0.192506612054353	0	0.0786777574885156	0.0702577008244854	0	0.0936647390532274	0.00105335965648277	0.026117593562884	0.00215859458944451	0.0746658980871096	0.0134036079923483	0.00134817601893593	0.0954831576354906	0	0.0265490113141394	0.291018577062711	0	0	0.0197786331868757	0	0	0.0133165814729968	0.00900000000000001	0.23284909606715	0.992649406133509
TCGA-FV-A3R2-11A-11R-A22L-07	0.0137843296708854	0	0	0.196500613457743	0	0.155116634170638	0	0.00589161201400426	0	0.0327501541931959	0	0.0568329568131666	0.0377723247683659	0.031427857161281	0.0888409288665896	0.34596505631709	0.019694330365354	0	0.00431283029719189	0.00648876304856534	0	0.00462160885592961	0.24	0.0527892314196892	1.07751401958776
TCGA-DD-A3A4-11A-11R-A22L-07	0.0305873808011616	0	0.0308114854474847	0.151819276633516	0	0.121688503408476	0	0	0.0266657284374033	0	0.0346884392340468	0.0326520658559214	0.048278260644461	0.00151987198849394	0.0328210994075645	0.436799547525828	0	0	0.0516683406156418	0	0	0	0.218	0.0577313714429103	1.06443557807786
TCGA-BC-A10Y-11A-11R-A131-07	0.0350731044459322	0	0.0103199718584239	0.0824591910706379	0	0.126602696882366	0	0.00989711014241983	0.0104416650801698	0.0106254783474395	0	0.0569900973322963	0.0820647642464681	0.0648621834855134	0.12190930179475	0.326610676016955	0.0384459822712486	0	0	0.0147076533984196	0	0.00899012362695922	0.184	0.0670317037163017	1.06549627789009
TCGA-BC-A10W-11A-11R-A131-07	0.0943581097712653	0	0.0117606263185204	0.0883771669644872	0	0.243992465735326	0.0308934274927984	0	0.00729143749722525	0.0256449544513812	0.0419486908187949	0	0.108761361905552	0	0.125774778236818	0.200201703025051	0.00219186885900095	0	0	0.00786066630652132	0	0.0109427426172584	0.139	0.0822049430657581	1.05535943035309
