ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	214	-0.641191959614264	-3.49432209119891	1e-10	1.93333333333333e-08	1.66359649122807e-08	1970	tags=59%, list=13%, signal=52%	ECI1/PHYH/HIBCH/CYP4F12/ETFA/ETFB/DECR2/DBT/IRS1/SLC27A4/AMACR/MCCC2/PPARA/ABHD2/CRYM/NOS3/BCKDHA/GCAT/IRS2/MCEE/ACADSB/CRAT/LONP2/ACOT4/MTHFS/DECR1/CPT1A/HSD17B10/LPIN2/ACACB/FAH/BDH2/ETFBKMT/IDNK/ACADM/TST/PRODH2/SDSL/CYP4F11/ARG1/ECI2/PCCB/CPT2/HMGCL/ACAA2/GOT1/OAT/HOGA1/ACOX1/FAAH/CBS/HSD17B4/GLUL/NUDT7/IVD/SHMT1/MLYCD/ALDH4A1/ECHS1/CYP4F3/BCKDHB/GOT2/SULT2A1/ACAA1/PAH/QDPR/HIBADH/ACOX2/TDO2/HADH/ETFDH/AMDHD1/ALDH5A1/PIPOX/ALDH1L1/ECHDC2/KMO/SARDH/ADHFE1/ACMSD/ASPA/ALDH8A1/HGD/AGXT/CDO1/SCP2/DAO/CSAD/RIDA/ABAT/GPT/GPT2/PON3/ACAT1/ABHD1/PCK1/GCDH/FTCD/SLC27A2/HAO1/HAAO/EHHADH/LDHD/PRODH/ALDH6A1/OTC/PCK2/AGXT2/PON1/MAT1A/HPD/SDS/CBSL/GSTZ1/CYP4A11/CYP4F2/ABCB11/AADAT/UROC1/MFSD2A/GLS2/AASS/AKR1D1/ACADL/TAT/CYP26A1
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	108	-0.684474016085754	-3.2881307021321	1e-10	1.93333333333333e-08	1.66359649122807e-08	2060	tags=67%, list=14%, signal=58%	ACADS/NUDT8/FABP1/PLIN5/HACL1/ACADVL/AIG1/ECI1/PHYH/CYP4F12/ETFA/ETFB/DECR2/IRS1/SLC27A4/AMACR/PPARA/ABHD2/IRS2/MCEE/CRAT/LONP2/DECR1/CPT1A/HSD17B10/LPIN2/ACACB/FAH/BDH2/ETFBKMT/IDNK/ACADM/CYP4F11/ECI2/PCCB/CPT2/ACAA2/HOGA1/ACOX1/FAAH/HSD17B4/NUDT7/IVD/MLYCD/ECHS1/CYP4F3/SULT2A1/ACAA1/ACOX2/HADH/ETFDH/ECHDC2/AGXT/SCP2/PON3/ACAT1/ABHD1/PCK1/GCDH/SLC27A2/HAO1/EHHADH/LDHD/PCK2/AGXT2/CYP4A11/CYP4F2/ABCB11/MFSD2A/AKR1D1/ACADL/CYP26A1
GOBP_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	GOBP_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	100	-0.69135302385562	-3.1786224814561	1e-10	1.93333333333333e-08	1.66359649122807e-08	1544	tags=61%, list=10%, signal=55%	CRYM/NOS3/BCKDHA/GCAT/ACADSB/HSD17B10/FAH/PRODH2/SDSL/ARG1/HMGCL/GOT1/OAT/HOGA1/CBS/GLUL/IVD/SHMT1/ALDH4A1/ECHS1/BCKDHB/GOT2/PAH/QDPR/HIBADH/TDO2/AMDHD1/ALDH5A1/PIPOX/KMO/SARDH/ADHFE1/ACMSD/ASPA/ALDH8A1/HGD/AGXT/CDO1/DAO/CSAD/RIDA/ABAT/GPT/GPT2/ACAT1/FTCD/HAAO/PRODH/ALDH6A1/OTC/AGXT2/MAT1A/HPD/SDS/CBSL/GSTZ1/AADAT/UROC1/GLS2/AASS/TAT
GOBP_FATTY_ACID_BETA_OXIDATION	GOBP_FATTY_ACID_BETA_OXIDATION	66	-0.712984297690524	-3.13532980049377	1e-10	1.93333333333333e-08	1.66359649122807e-08	2245	tags=64%, list=15%, signal=54%	ACADS/FABP1/PLIN5/ACADVL/ECI1/ETFA/ETFB/DECR2/IRS1/AMACR/PPARA/IRS2/CRAT/LONP2/DECR1/CPT1A/HSD17B10/ACACB/BDH2/ETFBKMT/ACADM/ECI2/CPT2/ACAA2/ACOX1/HSD17B4/IVD/MLYCD/ECHS1/ACAA1/ACOX2/HADH/ETFDH/ECHDC2/SCP2/ACAT1/GCDH/SLC27A2/EHHADH/ABCB11/MFSD2A/ACADL
GOMF_STEROID_HYDROXYLASE_ACTIVITY	GOMF_STEROID_HYDROXYLASE_ACTIVITY	31	-0.838722968700243	-3.12995226548969	1e-10	1.93333333333333e-08	1.66359649122807e-08	1198	tags=74%, list=8%, signal=68%	CYP2J2/CYP3A5/CYP2U1/CYP2C18/CYP27A1/CYP3A43/CYP7B1/CH25H/CYP7A1/CYP11A1/CYP2E1/CYP1B1/CYP2C9/CYP2C8/CYP39A1/CYP8B1/CYP1A1/CYP2A6/CYP2B6/CYP2A13/CYP3A4/CYP2A7/CYP1A2
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	83	-0.687035510505242	-3.10800476257108	1e-10	1.93333333333333e-08	1.66359649122807e-08	1544	tags=64%, list=10%, signal=58%	CRYM/NOS3/GCAT/ACADSB/HSD17B10/FAH/PRODH2/SDSL/ARG1/HMGCL/GOT1/OAT/HOGA1/CBS/GLUL/IVD/SHMT1/ALDH4A1/GOT2/PAH/QDPR/HIBADH/TDO2/PIPOX/KMO/SARDH/ADHFE1/ACMSD/ASPA/ALDH8A1/HGD/AGXT/CDO1/DAO/CSAD/RIDA/GPT/GPT2/ACAT1/HAAO/PRODH/ALDH6A1/OTC/AGXT2/MAT1A/HPD/SDS/CBSL/GSTZ1/AADAT/GLS2/AASS/TAT
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	33	-0.827574653749188	-3.09960265539792	1e-10	1.93333333333333e-08	1.66359649122807e-08	1198	tags=70%, list=8%, signal=64%	CYP2J2/CYP3A5/CYP4F11/CYP2U1/CYP4F3/CYP2C18/CYP3A43/CYP7B1/CYP7A1/CYP2E1/CYP1B1/CYP4A11/CYP4F2/CYP2C9/CYP2C8/CYP39A1/CYP1A1/CYP2A6/CYP2B6/CYP2A13/CYP3A4/CYP2A7/CYP1A2
GOBP_FATTY_ACID_CATABOLIC_PROCESS	GOBP_FATTY_ACID_CATABOLIC_PROCESS	89	-0.688703440358581	-3.07395337503992	1e-10	1.93333333333333e-08	1.66359649122807e-08	2245	tags=64%, list=15%, signal=55%	ACADS/NUDT8/FABP1/PLIN5/HACL1/ACADVL/AIG1/ECI1/PHYH/ETFA/ETFB/DECR2/IRS1/SLC27A4/AMACR/PPARA/ABHD2/IRS2/MCEE/CRAT/LONP2/DECR1/CPT1A/HSD17B10/LPIN2/ACACB/BDH2/ETFBKMT/ACADM/ECI2/PCCB/CPT2/ACAA2/ACOX1/FAAH/HSD17B4/NUDT7/IVD/MLYCD/ECHS1/ACAA1/ACOX2/HADH/ETFDH/ECHDC2/SCP2/ACAT1/ABHD1/PCK1/GCDH/SLC27A2/HAO1/EHHADH/PCK2/ABCB11/MFSD2A/ACADL
GOMF_MONOOXYGENASE_ACTIVITY	GOMF_MONOOXYGENASE_ACTIVITY	77	-0.668087655143142	-2.99561725050783	1e-10	1.93333333333333e-08	1.66359649122807e-08	1198	tags=53%, list=8%, signal=49%	CYP2J2/AKR1C4/CYP3A5/CYP4F11/FAXDC2/MSMO1/CYP2U1/CYP4F3/CYP2C18/PAH/CYP27A1/CYP3A43/CYP7B1/CYP4V2/CH25H/CYP7A1/AGMO/PTGIS/KMO/FMO3/CYP11A1/FMO4/CYP2E1/CYP1B1/DBH/CYP4A11/CYP4F2/CYP2C9/CYP4A22/CYP2C8/AKR1D1/CYP39A1/CYP8B1/CYP1A1/CYP2A6/CYP2B6/CYP2A13/CYP3A4/CYP2A7/CYP26A1/CYP1A2
GOBP_XENOBIOTIC_METABOLIC_PROCESS	GOBP_XENOBIOTIC_METABOLIC_PROCESS	87	-0.660632102867255	-2.96431779889635	1e-10	1.93333333333333e-08	1.66359649122807e-08	1255	tags=56%, list=8%, signal=52%	EPHX1/UGT1A1/RORC/CYP2J2/BPHL/CYP3A5/CMBL/CBR1/POR/SULT1A1/CYP2U1/AADAC/CYP2C18/SULT1A2/ACSM1/SULT2A1/ACAA1/GSTA1/GSTA2/RORA/PON3/ACSL1/ACSM2B/CES3/FMO4/CYP2E1/ALDH3A1/UGT2B15/CYP1B1/UGT1A4/AOX1/NR1I2/CYP4F2/ABCB11/CYP2C9/UGT1A3/SULT1B1/CYP2C8/CYP1A1/CYP2A6/NAT2/GLYAT/CYP2B6/CYP2A13/CYP3A4/GSTM1/CYP2A7/CYP26A1/CYP1A2
GOMF_AROMATASE_ACTIVITY	GOMF_AROMATASE_ACTIVITY	20	-0.890035743954564	-2.94255737661309	1e-10	1.93333333333333e-08	1.66359649122807e-08	1065	tags=80%, list=7%, signal=74%	CYP3A5/CYP4F11/CYP4F3/CYP2C18/CYP3A43/CYP2E1/CYP1B1/CYP4A11/CYP4F2/CYP2C9/CYP2C8/CYP1A1/CYP2A13/CYP3A4/CYP2A7/CYP1A2
GOBP_LIPID_OXIDATION	GOBP_LIPID_OXIDATION	97	-0.625900187281059	-2.90449105327345	1e-10	1.93333333333333e-08	1.66359649122807e-08	2280	tags=61%, list=15%, signal=52%	ADH5/ACADS/FABP1/DGAT2/PLIN5/HACL1/ACADVL/ECI1/PHYH/ETFA/ETFB/APOD/DECR2/IRS1/AMACR/PPARA/IRS2/CRAT/LONP2/DECR1/CPT1A/HSD17B10/ACACB/PRKAG2/BDH2/ETFBKMT/ACADM/ECI2/CPT2/ACAA2/ACOX1/POR/HSD17B4/IVD/MLYCD/ECHS1/ACSM1/ACAA1/ACOX2/CYP4V2/HADH/ETFDH/ECHDC2/PPARGC1A/SCP2/ACAT1/GCDH/FABP3/SLC27A2/HAO1/EHHADH/PDK4/NR4A3/CYP4F2/ABCB11/HAO2/MFSD2A/ACADL/ADH4
GOMF_VITAMIN_B6_BINDING	GOMF_VITAMIN_B6_BINDING	45	-0.715976438334528	-2.89608332774148	1e-10	1.93333333333333e-08	1.66359649122807e-08	1677	tags=56%, list=11%, signal=49%	PHYKPL/MOCOS/GCAT/SRR/ALB/SDSL/PNPO/GOT1/OAT/CBS/SHMT1/GOT2/CTH/AGXT/CSAD/ABAT/GPT/GPT2/ALAS1/AGXT2/SDS/CBSL/AADAT/TAT/ETNPPL
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	88	-0.639775808106964	-2.85941548030298	1e-10	1.93333333333333e-08	1.66359649122807e-08	1473	tags=45%, list=10%, signal=41%	ACSF2/ABHD6/ACOT4/CPT1A/EPHX1/ACSL5/ACOT2/CYP2J2/ACOT1/CYP4F11/CBR1/CPT2/FAAH/CYP2U1/CYP4F3/CYP2C18/ACSM1/ACAA1/GSTA1/PTGIS/SCP2/ACSL1/CYP2E1/SLC27A2/CYP1B1/CYP4A11/CYP4F2/CYP2C9/CYP4A22/CYP2C8/ACADL/SLC27A5/CYP1A1/CYP2A6/CYP2B6/CYP2A13/CYP3A4/GSTM1/CYP2A7/CYP1A2
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	119	-0.553721183814673	-2.6737290826041	1e-10	1.93333333333333e-08	1.66359649122807e-08	1282	tags=41%, list=9%, signal=38%	DHRS4/EDNRB/EPHX1/CYP2J2/DHRS4L2/AKR1C4/EGR1/CYP3A5/CYP4F11/CBR1/FAAH/SRD5A1/DHRS4L1/CYP2U1/CYP4F3/CYP2C18/ACAA1/EPHX2/GSTA1/RBP4/PTGIS/ALDH8A1/SCP2/ADH6/RDH5/ADH1A/CYP11A1/CYP2E1/CYP1B1/TTR/LIPE/ADH1B/ADH1C/BCO2/CYP4A11/CYP4F2/CYP2C9/CYP4A22/RDH16/CYP2C8/SRD5A2/CYP1A1/CYP2A6/ADH4/CYP2B6/CYP2A13/CYP3A4/CYP2A7/CYP1A2
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	134	-0.510960265355347	-2.57804126069815	1e-10	1.93333333333333e-08	1.66359649122807e-08	1255	tags=43%, list=8%, signal=39%	EPHX1/UGT1A1/GAS6/EDN1/RORC/CYP2J2/CD69/BPHL/CYP3A5/CMBL/CBR1/POR/SULT1A1/CYP2U1/AADAC/CYP2C18/SULT1A2/ACSM1/SULT2A1/ACAA1/GSTA1/GSTA2/RORA/PON3/ACSL1/ACSM2B/CES3/FMO4/CYP2E1/ALDH3A1/UGT2B15/FBP1/CYP1B1/UGT1A4/AOX1/NR1I2/CYP4F2/GPLD1/ABCB11/CYP2C9/REN/UGT1A3/SULT1B1/CYP2C8/SLC10A1/CYP1A1/CYP2A6/NAT2/GLYAT/CYP2B6/CYP2A13/CYP3A4/GSTM1/CYP2A7/CYP26A1/CRHBP/CYP1A2
