ID	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-2V-A95S-01A-11R-A37K-07	-597.66	1683.4	1085.74
TCGA-2Y-A9GS-01A-12R-A38B-07	-628.3	102.88	-525.43
TCGA-2Y-A9GT-01A-11R-A38B-07	-206.37	1002.75	796.37
TCGA-2Y-A9GU-01A-11R-A38B-07	-1053.62	-621.19	-1674.82
TCGA-2Y-A9GV-01A-11R-A38B-07	-196.93	335.85	138.92
TCGA-2Y-A9GW-01A-11R-A38B-07	-92.37	913.22	820.86
TCGA-2Y-A9GX-01A-11R-A38B-07	657.92	1087.45	1745.37
TCGA-2Y-A9GY-01A-11R-A38B-07	-1125.46	1200.87	75.41
TCGA-2Y-A9GZ-01A-11R-A39D-07	-1032.97	-832.05	-1865.01
TCGA-2Y-A9H0-01A-11R-A38B-07	-1207.37	239.59	-967.78
TCGA-2Y-A9H1-01A-11R-A38B-07	-1018.9	589.85	-429.05
TCGA-2Y-A9H2-01A-12R-A38B-07	-1089.64	65.1	-1024.54
TCGA-2Y-A9H3-01A-11R-A38B-07	-314.08	1273.26	959.19
TCGA-2Y-A9H4-01A-11R-A38B-07	-929.57	62.48	-867.09
TCGA-2Y-A9H5-01A-11R-A38B-07	-369.7	-258.43	-628.13
TCGA-2Y-A9H6-01A-11R-A39D-07	-96.81	483.33	386.51
TCGA-2Y-A9H7-01A-11R-A39D-07	-1326.45	-218.24	-1544.69
TCGA-2Y-A9H8-01A-11R-A39D-07	-979.21	393.88	-585.32
TCGA-2Y-A9H9-01A-21R-A39D-07	-759.95	-138.3	-898.25
TCGA-2Y-A9HA-01A-11R-A39D-07	-1122.7	-519.17	-1641.87
TCGA-2Y-A9HB-01A-11R-A39D-07	-334.67	395.03	60.36
TCGA-3K-AAZ8-01A-12R-A39D-07	-1112.32	-47.12	-1159.44
TCGA-4R-AA8I-01A-11R-A38B-07	-829.5	-314.59	-1144.09
TCGA-5C-A9VG-01A-11R-A37K-07	-542.35	-785.46	-1327.81
TCGA-5C-A9VH-01A-11R-A37K-07	-365.5	-437.17	-802.66
TCGA-5C-AAPD-01A-21R-A39D-07	-484.12	1195.39	711.27
TCGA-5R-AA1C-01A-11R-A41C-07	-1001.36	-125.46	-1126.82
TCGA-5R-AA1D-01A-11R-A38B-07	1195.07	435.19	1630.25
TCGA-5R-AAAM-01A-12R-A41C-07	425.25	533.8	959.05
TCGA-BC-4072-01B-11R-A155-07	-408.97	749.13	340.16
TCGA-BC-4073-01B-02R-A131-07	-105.68	1320.38	1214.7
TCGA-BC-A10Q-01A-11R-A131-07	-831.23	-218.05	-1049.28
TCGA-BC-A10R-01A-11R-A131-07	-159.81	-453.24	-613.05
TCGA-BC-A10S-01A-22R-A131-07	-71.54	563	491.46
TCGA-BC-A10T-01A-11R-A131-07	48.55	-333.34	-284.79
TCGA-BC-A10U-01A-11R-A131-07	-1353.48	-463.3	-1816.78
TCGA-BC-A10W-01A-11R-A131-07	-710.35	50.22	-660.13
TCGA-BC-A10X-01A-11R-A131-07	308.85	268.69	577.54
TCGA-BC-A10Y-01A-11R-A131-07	-927.29	-56.29	-983.58
TCGA-BC-A10Z-01A-11R-A131-07	-1566.63	-1096.73	-2663.36
TCGA-BC-A110-01A-11R-A131-07	587.38	986.37	1573.75
TCGA-BC-A112-01A-11R-A131-07	-404.87	-70.85	-475.72
TCGA-BC-A216-01A-11R-A155-07	-1082.31	298.27	-784.04
TCGA-BC-A217-01A-11R-A155-07	-1221.26	108.35	-1112.9
TCGA-BC-A3KF-01A-11R-A213-07	-904.22	-466.83	-1371.05
TCGA-BC-A3KG-01A-11R-A213-07	-1381.15	-577.98	-1959.13
TCGA-BC-A5W4-01A-11R-A28V-07	-1577.52	-1012.2	-2589.72
TCGA-BC-A69H-01A-11R-A311-07	-996.87	389.06	-607.81
TCGA-BC-A69I-01A-11R-A311-07	-369.32	-48.91	-418.24
TCGA-BC-A8YO-01A-11R-A37K-07	-1003.01	727.98	-275.03
TCGA-BD-A2L6-01A-11R-A213-07	-805	-192.56	-997.56
TCGA-BD-A3EP-01A-11R-A22L-07	56.33	873.15	929.47
TCGA-BD-A3ER-01A-11R-A213-07	33.72	72.52	106.24
TCGA-BW-A5NO-01A-11R-A27V-07	-813.53	-72.3	-885.83
TCGA-BW-A5NP-01A-11R-A27V-07	-1471.4	-964.97	-2436.37
TCGA-BW-A5NQ-01A-11R-A27V-07	-1014.97	868.72	-146.25
TCGA-CC-5258-01A-01R-A131-07	-640.74	83.4	-557.33
TCGA-CC-5259-01A-31R-A213-07	-1495.13	79.77	-1415.36
TCGA-CC-5260-01A-01R-A131-07	-94.78	152.92	58.14
TCGA-CC-5261-01A-01R-A131-07	-12.46	530.68	518.22
TCGA-CC-5262-01A-01R-A131-07	100.13	557.69	657.82
TCGA-CC-5263-01A-01R-A131-07	-884.26	95.31	-788.94
TCGA-CC-5264-01A-01R-A131-07	-1120.43	-340	-1460.43
TCGA-CC-A123-01A-11R-A131-07	-1008.26	-195.89	-1204.14
TCGA-CC-A1HT-01A-11R-A131-07	26.3	1568.77	1595.07
TCGA-CC-A3M9-01A-11R-A213-07	807.39	2599.91	3407.3
TCGA-CC-A3MA-01A-11R-A213-07	-561.63	-561.41	-1123.04
TCGA-CC-A3MB-01A-11R-A213-07	-1029.32	-427.06	-1456.38
TCGA-CC-A3MC-01A-11R-A22L-07	-615.47	-169.72	-785.2
TCGA-CC-A5UC-01A-11R-A28V-07	-416.38	-217.33	-633.7
TCGA-CC-A5UD-01A-11R-A28V-07	-1302.8	-618.02	-1920.82
TCGA-CC-A5UE-01A-11R-A28V-07	-1714.21	-472.91	-2187.12
TCGA-CC-A7IE-01A-21R-A38B-07	-798.34	643.05	-155.29
TCGA-CC-A7IF-01A-11R-A33J-07	-1190.84	-742.58	-1933.42
TCGA-CC-A7IG-01A-11R-A33J-07	-1083.44	-9.74	-1093.18
TCGA-CC-A7IH-01A-11R-A33J-07	-1015.57	-819.2	-1834.77
TCGA-CC-A7II-01A-11R-A33J-07	-935.49	-897.91	-1833.4
TCGA-CC-A7IJ-01A-11R-A33R-07	720.04	1433.52	2153.56
TCGA-CC-A7IK-01A-12R-A33R-07	-1391.56	-983.35	-2374.91
TCGA-CC-A7IL-01A-11R-A33R-07	-1700.72	-789.54	-2490.26
TCGA-CC-A8HS-01A-11R-A36F-07	-1217.64	-848.81	-2066.45
TCGA-CC-A8HT-01A-11R-A36F-07	-1198.77	208.04	-990.73
TCGA-CC-A8HU-01A-11R-A36F-07	-1341.23	-652.1	-1993.33
TCGA-CC-A8HV-01A-11R-A36F-07	-1257.96	-837.12	-2095.07
TCGA-CC-A9FS-01A-11R-A37K-07	-1017.93	-441.87	-1459.8
TCGA-CC-A9FU-01A-11R-A37K-07	-1731.43	-629.7	-2361.13
TCGA-CC-A9FV-01A-11R-A37K-07	1006.9	1815.86	2822.76
TCGA-CC-A9FW-01A-11R-A37K-07	-1459.16	-395.24	-1854.39
TCGA-DD-A113-01A-11R-A131-07	-810.56	-24.48	-835.04
TCGA-DD-A114-01A-11R-A131-07	187.4	1253.33	1440.73
TCGA-DD-A115-01A-11R-A131-07	-398.76	-79.33	-478.1
TCGA-DD-A116-01A-11R-A131-07	-761.08	-96	-857.08
TCGA-DD-A118-01A-11R-A131-07	-423.41	-357.32	-780.73
TCGA-DD-A119-01A-11R-A131-07	-514.96	-191.43	-706.39
TCGA-DD-A11A-01A-11R-A131-07	-1135.65	-653.43	-1789.08
TCGA-DD-A11B-01A-11R-A131-07	-948.93	-728.55	-1677.47
TCGA-DD-A11C-01A-11R-A131-07	-133.74	-15.53	-149.28
TCGA-DD-A11D-01A-11R-A131-07	-724.45	-391.46	-1115.91
TCGA-DD-A1EA-01A-11R-A131-07	-1014.88	276.2	-738.67
TCGA-DD-A1EB-01A-11R-A131-07	-631.2	-314.52	-945.72
TCGA-DD-A1EC-01A-21R-A131-07	-285.49	1990.28	1704.79
TCGA-DD-A1ED-01A-11R-A155-07	-197.29	546.05	348.76
TCGA-DD-A1EE-01A-11R-A131-07	-1123.61	-648.59	-1772.2
TCGA-DD-A1EF-01A-11R-A131-07	-744.31	63.8	-680.51
TCGA-DD-A1EG-01A-11R-A213-07	-147.2	835.08	687.87
TCGA-DD-A1EH-01A-11R-A131-07	-553.22	-593.13	-1146.35
TCGA-DD-A1EI-01A-11R-A131-07	-81.81	-66.19	-147.99
TCGA-DD-A1EJ-01A-11R-A155-07	-1175.16	-184.32	-1359.48
TCGA-DD-A1EK-01A-11R-A213-07	-430.18	244.28	-185.91
TCGA-DD-A1EL-01A-11R-A155-07	-1465.03	-268.3	-1733.33
TCGA-DD-A39V-01A-11R-A213-07	-569.31	859.83	290.52
TCGA-DD-A39W-01A-11R-A213-07	-1078.41	-508.82	-1587.23
TCGA-DD-A39X-01A-11R-A213-07	-586.6	20.95	-565.65
TCGA-DD-A39Y-01A-11R-A213-07	-1343.57	-457.29	-1800.86
TCGA-DD-A39Z-01A-11R-A213-07	-1528.91	-649.2	-2178.11
TCGA-DD-A3A1-01A-11R-A213-07	-1244.43	352.63	-891.79
TCGA-DD-A3A2-01A-11R-A213-07	-678.81	-352.33	-1031.14
TCGA-DD-A3A3-01A-11R-A22L-07	-1542.93	-208.27	-1751.2
TCGA-DD-A3A4-01A-11R-A22L-07	-959.04	-853.1	-1812.14
TCGA-DD-A3A5-01A-11R-A22L-07	-790.49	-311.8	-1102.29
TCGA-DD-A3A6-01A-11R-A22L-07	597.51	791.33	1388.84
TCGA-DD-A3A7-01A-11R-A22L-07	-1299.52	-212.19	-1511.71
TCGA-DD-A3A8-01A-11R-A22L-07	-1196.23	-613.44	-1809.68
TCGA-DD-A3A9-01A-11R-A266-07	-175.44	318.78	143.33
TCGA-DD-A4NA-01A-11R-A266-07	-438.52	109.39	-329.13
TCGA-DD-A4NB-01A-12R-A266-07	946.19	281.33	1227.52
TCGA-DD-A4ND-01A-11R-A266-07	575.3	541.13	1116.43
TCGA-DD-A4NE-01A-11R-A27V-07	-795.43	-597.05	-1392.48
TCGA-DD-A4NF-01A-11R-A27V-07	-926.32	-786.41	-1712.73
TCGA-DD-A4NG-01A-11R-A27V-07	-920.04	-79.19	-999.23
TCGA-DD-A4NH-01A-11R-A27V-07	-715.33	409.75	-305.57
TCGA-DD-A4NI-01A-11R-A27V-07	-188.44	445.41	256.97
TCGA-DD-A4NJ-01A-11R-A27V-07	-248.04	361.78	113.74
TCGA-DD-A4NK-01A-11R-A28V-07	-747.03	-540.25	-1287.29
TCGA-DD-A4NL-01A-11R-A28V-07	-268.75	-111.58	-380.33
TCGA-DD-A4NN-01A-11R-A28V-07	-949.02	-831.75	-1780.77
TCGA-DD-A4NO-01A-11R-A28V-07	-424.72	-339.6	-764.32
TCGA-DD-A4NP-01A-11R-A28V-07	-803.7	-298.01	-1101.71
TCGA-DD-A4NQ-01A-21R-A28V-07	-1089.01	101.76	-987.25
TCGA-DD-A4NR-01A-11R-A311-07	54	1836.16	1890.16
TCGA-DD-A4NS-01A-11R-A311-07	526.88	581.45	1108.33
TCGA-DD-A4NV-01A-11R-A311-07	-232.06	-257.35	-489.42
TCGA-DD-A73A-01A-12R-A32O-07	-1022.13	270.71	-751.42
TCGA-DD-A73B-01A-12R-A32O-07	-1232.87	-725.32	-1958.19
TCGA-DD-A73C-01A-12R-A33J-07	-223.43	-303.44	-526.87
TCGA-DD-A73D-01A-12R-A32O-07	-1626.22	-962.42	-2588.65
TCGA-DD-A73E-01A-12R-A32O-07	-1239.67	-1115.43	-2355.1
TCGA-DD-A73F-01A-11R-A32O-07	-255.87	1296.68	1040.82
TCGA-DD-A73G-01A-22R-A32O-07	-831.23	100.89	-730.34
TCGA-DD-AA3A-01A-11R-A37K-07	-1642.35	-439.6	-2081.95
TCGA-DD-AAC8-01A-11R-A41C-07	-1073.16	-36.7	-1109.86
TCGA-DD-AAC9-01A-11R-A41C-07	38.72	507.01	545.73
TCGA-DD-AACA-01A-11R-A41C-07	-1151.35	-606.2	-1757.55
TCGA-DD-AACA-02A-11R-A41C-07	-1525.94	-962.97	-2488.91
TCGA-DD-AACA-02B-11R-A41C-07	-1525.94	-962.97	-2488.91
TCGA-DD-AACB-01A-11R-A41C-07	-857.09	897.14	40.05
TCGA-DD-AACC-01A-11R-A41C-07	-5.4	2311.6	2306.2
TCGA-DD-AACD-01A-11R-A41C-07	-554.12	490.73	-63.39
TCGA-DD-AACE-01A-11R-A41C-07	-764.94	-461.16	-1226.1
TCGA-DD-AACF-01A-11R-A41C-07	-1132.7	185.99	-946.7
TCGA-DD-AACG-01A-11R-A41C-07	-1370.95	188.65	-1182.3
TCGA-DD-AACH-01A-11R-A41C-07	-853.43	-130.89	-984.32
TCGA-DD-AACI-01A-11R-A41C-07	-367.06	1415.59	1048.52
TCGA-DD-AACJ-01A-11R-A41C-07	-1389.37	-445.52	-1834.89
TCGA-DD-AACK-01A-11R-A41C-07	-1153.34	-357.97	-1511.31
TCGA-DD-AACL-01A-11R-A41C-07	-663.99	1275.36	611.38
TCGA-DD-AACN-01A-11R-A41C-07	-371.88	-161.34	-533.22
TCGA-DD-AACO-01A-11R-A41C-07	-658.74	333.95	-324.79
TCGA-DD-AACP-01A-11R-A41C-07	-1741.56	-787.77	-2529.32
TCGA-DD-AACQ-01A-11R-A41C-07	-1567.28	-885.28	-2452.56
TCGA-DD-AACS-01A-11R-A41C-07	-1292.3	-731.2	-2023.49
TCGA-DD-AACT-01A-11R-A41C-07	-457.36	365.62	-91.74
TCGA-DD-AACU-01A-11R-A41C-07	-821.14	-105.23	-926.37
TCGA-DD-AACV-01A-11R-A41C-07	-1459.36	-1058.32	-2517.67
TCGA-DD-AACW-01A-11R-A41C-07	-1253.49	-341.6	-1595.09
TCGA-DD-AACX-01A-11R-A41C-07	-1466.82	-205.52	-1672.33
TCGA-DD-AACY-01A-11R-A41C-07	-871.62	-147.83	-1019.45
TCGA-DD-AACZ-01A-11R-A41C-07	-573.09	1560.76	987.67
TCGA-DD-AAD0-01A-11R-A41C-07	-1536.13	-605.64	-2141.76
TCGA-DD-AAD1-01A-11R-A41C-07	149.64	736.91	886.55
TCGA-DD-AAD2-01A-11R-A41C-07	168.61	426.55	595.16
TCGA-DD-AAD3-01A-11R-A41C-07	-40.1	165.93	125.82
TCGA-DD-AAD5-01A-11R-A41C-07	-1154.27	434.45	-719.82
TCGA-DD-AAD6-01A-11R-A41C-07	-1572.96	-412.1	-1985.06
TCGA-DD-AAD8-01A-11R-A41C-07	-1083.41	-380.9	-1464.31
TCGA-DD-AADA-01A-11R-A41C-07	-354.68	446.4	91.72
TCGA-DD-AADB-01A-11R-A41C-07	-992.74	636.03	-356.72
TCGA-DD-AADC-01A-11R-A41C-07	-1234.08	-607.18	-1841.26
TCGA-DD-AADD-01A-11R-A41C-07	-1631.89	-495.5	-2127.39
TCGA-DD-AADF-01A-11R-A41C-07	-1267.53	-166.16	-1433.69
TCGA-DD-AADG-01A-11R-A41C-07	-1145.19	-825.86	-1971.05
TCGA-DD-AADI-01A-11R-A41C-07	-334.08	1002.06	667.98
TCGA-DD-AADJ-01A-11R-A41C-07	-1158.53	-120.71	-1279.24
TCGA-DD-AADK-01A-11R-A41C-07	-336.33	198.18	-138.15
TCGA-DD-AADL-01A-11R-A41C-07	-1301.91	-803.48	-2105.39
TCGA-DD-AADM-01A-11R-A41C-07	-742.82	-38.41	-781.23
TCGA-DD-AADN-01A-11R-A41C-07	-1354.1	1655.29	301.18
TCGA-DD-AADO-01A-11R-A41C-07	-984.48	934.89	-49.59
TCGA-DD-AADP-01A-11R-A39D-07	-638.25	-208.15	-846.41
TCGA-DD-AADQ-01A-11R-A41C-07	-1316.3	19.33	-1296.97
TCGA-DD-AADR-01A-11R-A41C-07	-972.6	-10.3	-982.9
TCGA-DD-AADS-01A-11R-A41C-07	-892.74	901.7	8.96
TCGA-DD-AADU-01A-11R-A41C-07	-1441.82	-448.39	-1890.21
TCGA-DD-AADV-01A-11R-A39D-07	-495.15	-332.76	-827.91
TCGA-DD-AADW-01A-11R-A39D-07	-573.76	-797.57	-1371.34
TCGA-DD-AADY-01A-11R-A41C-07	-746.95	-797.31	-1544.26
TCGA-DD-AAE0-01A-11R-A41C-07	-808.81	-478.88	-1287.7
TCGA-DD-AAE1-01A-11R-A41C-07	-1229.05	-143.96	-1373.01
TCGA-DD-AAE2-01A-11R-A41C-07	-261.06	389.59	128.54
TCGA-DD-AAE3-01A-11R-A41C-07	-283.52	-129.5	-413.02
TCGA-DD-AAE4-01A-11R-A41C-07	-78.9	1307.28	1228.38
TCGA-DD-AAE6-01A-11R-A41C-07	-1727.94	-1141.2	-2869.14
TCGA-DD-AAE7-01A-11R-A41C-07	-323.11	239.78	-83.33
TCGA-DD-AAE9-01A-11R-A41C-07	-1551.74	-375.93	-1927.66
TCGA-DD-AAEA-01A-11R-A41C-07	-1154.93	151.51	-1003.42
TCGA-DD-AAEB-01A-11R-A41C-07	-869.87	-235.29	-1105.16
TCGA-DD-AAED-01A-12R-A41C-07	-1662.15	-321.32	-1983.47
TCGA-DD-AAEE-01A-11R-A41C-07	-1086.86	-659.39	-1746.25
TCGA-DD-AAEG-01A-11R-A39D-07	-1097.01	-640.35	-1737.36
TCGA-DD-AAEH-01A-11R-A41C-07	-292	962.91	670.9
TCGA-DD-AAEI-01A-11R-A41C-07	-784.36	272.02	-512.34
TCGA-DD-AAEK-01A-11R-A41C-07	-258.19	962.71	704.52
TCGA-DD-AAVP-01A-11R-A41C-07	-752.95	-384.25	-1137.2
TCGA-DD-AAVQ-01A-11R-A41C-07	-446.26	1537.9	1091.64
TCGA-DD-AAVR-01A-11R-A41C-07	261.96	1148.07	1410.03
TCGA-DD-AAVS-01A-11R-A41C-07	-813.47	-334.55	-1148.01
TCGA-DD-AAVU-01A-11R-A41C-07	-1359.71	-410.19	-1769.9
TCGA-DD-AAVV-01A-11R-A41C-07	-46.06	886.87	840.82
TCGA-DD-AAVW-01A-11R-A41C-07	169.26	280.81	450.08
TCGA-DD-AAVX-01A-11R-A41C-07	-604.89	419.12	-185.77
TCGA-DD-AAVY-01A-11R-A41C-07	-1313.86	-699.67	-2013.53
TCGA-DD-AAVZ-01A-11R-A41C-07	-848.26	-389.88	-1238.14
TCGA-DD-AAW0-01A-11R-A41C-07	-118.51	526.45	407.94
TCGA-DD-AAW1-01A-11R-A41C-07	-1046.24	-530.14	-1576.38
TCGA-DD-AAW2-01A-11R-A41C-07	-903.62	-670.36	-1573.98
TCGA-DD-AAW3-01A-11R-A41C-07	-978.01	-726.86	-1704.87
TCGA-ED-A459-01A-11R-A266-07	-942.5	85.69	-856.81
TCGA-ED-A4XI-01A-11R-A266-07	92.1	523.63	615.73
TCGA-ED-A5KG-01A-11R-A27V-07	485.1	2934.36	3419.47
TCGA-ED-A627-01A-12R-A311-07	628.18	1307.98	1936.16
TCGA-ED-A66X-01A-11R-A311-07	250.03	393.97	644
TCGA-ED-A66Y-01A-11R-A311-07	-1256.72	-1209.16	-2465.88
TCGA-ED-A7PX-01A-51R-A352-07	-99.92	-155.43	-255.35
TCGA-ED-A7PY-01A-11R-A33R-07	-1440.39	-712.49	-2152.88
TCGA-ED-A7PZ-01A-11R-A33R-07	-1637.75	-969.5	-2607.25
TCGA-ED-A7XO-01A-11R-A352-07	-280.71	158.48	-122.24
TCGA-ED-A7XP-01A-11R-A352-07	-447.42	-56.46	-503.88
TCGA-ED-A82E-01A-11R-A352-07	-499.13	-173.15	-672.28
TCGA-ED-A8O5-01A-11R-A36F-07	-839.3	-672.53	-1511.84
TCGA-ED-A8O6-01A-11R-A36F-07	-1062.5	-522.85	-1585.36
TCGA-ED-A97K-01A-21R-A38B-07	-435.17	-12.54	-447.7
TCGA-EP-A12J-01A-11R-A131-07	-970.79	-397.63	-1368.42
TCGA-EP-A26S-01A-11R-A16W-07	-975.46	-768.95	-1744.42
TCGA-EP-A2KA-01A-11R-A180-07	-939.88	883.29	-56.59
TCGA-EP-A2KB-01A-11R-A180-07	-1259.73	-479.63	-1739.36
TCGA-EP-A2KC-01A-11R-A213-07	-898.55	-355.14	-1253.69
TCGA-EP-A3JL-01A-11R-A213-07	-151.95	750.73	598.77
TCGA-EP-A3RK-01A-11R-A22L-07	-230.87	1304.49	1073.63
TCGA-ES-A2HS-01A-11R-A180-07	-630.74	-502.18	-1132.92
TCGA-ES-A2HT-01A-12R-A180-07	-327.93	203.46	-124.47
