Cell	cor	pvalue
B cells naive	-0.102085476051456	0.454058094838415
B cells memory	0.102062441079414	0.454160482615783
Plasma cells	-0.177561960436812	0.190461815793288
T cells CD8	-0.32282980177717	0.0155980297883945
T cells CD4 naive	0.112622269354639	0.408569720189823
T cells CD4 memory resting	0.233872759308913	0.0827729367977244
T cells CD4 memory activated	-0.199854168021465	0.139733492177673
T cells follicular helper	-0.29697659628168	0.026239229899599
T cells regulatory (Tregs)	-0.27511961722488	0.040485420714917
T cells gamma delta	0.0254287466184233	0.852421680513416
NK cells resting	0.141100503601156	0.299603034165927
NK cells activated	-0.175020078974272	0.196989943692148
Monocytes	0.0210150113163008	0.877821120423042
Macrophages M0	0.115037593984962	0.397479004347256
Macrophages M1	-0.135133287764867	0.319768855328672
Macrophages M2	0.149555707450444	0.270458295909786
Dendritic cells resting	-0.0794335339764947	0.560607104553068
Dendritic cells activated	0.184310145833422	0.173885306721231
Mast cells resting	0.277736004476906	0.038221054145786
Mast cells activated	-0.0751483697256224	0.582007624681744
Eosinophils	0.188284571282024	0.164626509122439
Neutrophils	0.0740300433972621	0.587653054741304
