Query	Gene	cor	pvalue
GLS	YTHDF1	0.451084040113328	5.37670593175246e-20
GLS	VIRMA	0.186045491359371	0.000314685056158423
GLS	IGFBP1	-0.269847424808409	1.30370556348703e-07
GLS	YTHDC2	0.339057403456861	1.96758066455778e-11
GLS	LRPPRC	0.361029441014594	7.29247834322718e-13
GLS	YTHDF2	0.377700064504236	5.02581644359094e-14
GLS	RBM15B	0.368019843968929	2.42056422888272e-13
GLS	HNRNPA2B1	0.424908227069936	1.07118384189383e-17
GLS	IGFBP3	0.374144373683174	9.00802960275952e-14
GLS	HNRNPC	0.483025486532243	4.38906040591592e-23
GLS	ZC3H13	0.239273771032891	3.1457786422642e-06
GLS	RBMX	0.4821839981098	5.34505788400967e-23
GLS	METTL3	0.287363061353573	1.74419732195911e-08
GLS	IGFBP2	-0.344955848923252	8.3300377829281e-12
GLS	METTL16	0.300438789014829	3.54176945795602e-09
GLS	FTO	0.215631402082243	2.80535207970945e-05
GLS	WTAP	0.441145308697019	4.23706475426953e-19
GLS	RBM15	0.211380673707975	4.05701262576321e-05
GLS	YTHDC1	0.499043484031931	9.27607356393108e-25
