id	GLS	Type
TCGA-BD-A3EP-11A-12R-A22L-07	1.556640709	Normal
TCGA-G3-A3CH-11A-11R-A22L-07	1.108017199	Normal
TCGA-BC-A10X-11A-11R-A131-07	1.187423635	Normal
TCGA-DD-A1EH-11A-11R-A131-07	1.083061992	Normal
TCGA-DD-A11A-11A-11R-A131-07	1.934793969	Normal
TCGA-DD-A3A6-11A-11R-A22L-07	0.207662052	Normal
TCGA-DD-A1EB-11A-11R-A131-07	0.973799899	Normal
TCGA-BC-A110-11A-11R-A131-07	1.236091027	Normal
TCGA-BC-A216-11A-11R-A155-07	1.152258215	Normal
TCGA-FV-A3R2-11A-11R-A22L-07	1.074392155	Normal
TCGA-DD-A3A4-11A-11R-A22L-07	1.590772249	Normal
TCGA-BC-A10Y-11A-11R-A131-07	1.332786637	Normal
TCGA-BC-A10W-11A-11R-A131-07	1.059621795	Normal
TCGA-DD-A119-11A-11R-A131-07	1.019933837	Normal
TCGA-DD-A1EC-11A-11R-A131-07	1.082622361	Normal
TCGA-DD-A1EJ-11A-11R-A155-07	1.336827922	Normal
TCGA-BC-A10R-11A-11R-A131-07	0.789476752	Normal
TCGA-FV-A3I1-11A-11R-A22L-07	0.752829966	Normal
TCGA-BC-A10Q-11A-11R-A131-07	0.43644682	Normal
TCGA-FV-A23B-11A-11R-A16W-07	2.083794945	Normal
TCGA-BC-A10Z-11A-11R-A131-07	2.744481031	Normal
TCGA-DD-A1EG-11A-11R-A213-07	1.120011278	Normal
TCGA-DD-A11D-11A-12R-A131-07	1.379987743	Normal
TCGA-BC-A10T-11A-11R-A131-07	1.161012894	Normal
TCGA-ES-A2HT-11A-11R-A180-07	2.587691131	Normal
TCGA-EP-A3RK-11A-11R-A22L-07	0.905081309	Normal
TCGA-FV-A2QR-11A-11R-A213-07	2.407875895	Normal
TCGA-DD-A11C-11A-11R-A131-07	0.509299755	Normal
TCGA-DD-A39W-11A-11R-A213-07	0.718359671	Normal
TCGA-DD-A3A1-11A-11R-A213-07	0.600244955	Normal
TCGA-DD-A113-11A-12R-A131-07	0.742442881	Normal
TCGA-DD-A39X-11A-11R-A213-07	0.523740857	Normal
TCGA-DD-A3A5-11A-11R-A22L-07	0.31970115	Normal
TCGA-DD-A3A2-11A-11R-A213-07	0.672538535	Normal
TCGA-EP-A12J-11A-11R-A131-07	1.08130502	Normal
TCGA-BC-A10U-11A-11R-A131-07	1.783661244	Normal
TCGA-DD-A118-11A-11R-A131-07	0.719645529	Normal
TCGA-DD-A1EL-11A-11R-A155-07	1.345937498	Normal
TCGA-DD-A3A3-11A-11R-A22L-07	1.096088009	Normal
TCGA-DD-A116-11A-12R-A26B-07	0.970367592	Normal
TCGA-DD-A1EI-11A-11R-A131-07	0.838764145	Normal
TCGA-BD-A2L6-11A-21R-A213-07	3.463856477	Normal
TCGA-FV-A3I0-11A-11R-A22L-07	0.650497559	Normal
TCGA-DD-A1EE-11A-11R-A131-07	1.093981368	Normal
TCGA-DD-A3A8-11A-11R-A22L-07	1.133416586	Normal
TCGA-DD-A11B-11A-11R-A131-07	1.657121015	Normal
TCGA-DD-A114-11A-12R-A131-07	2.374809217	Normal
TCGA-DD-A39Z-11A-21R-A213-07	0.522498734	Normal
TCGA-EP-A26S-11A-12R-A16W-07	0.869554426	Normal
TCGA-DD-A39V-11A-11R-A213-07	1.094764349	Normal
TCGA-DD-AAVS-01A-11R-A41C-07	4.461031302	Tumor
TCGA-DD-AAE3-01A-11R-A41C-07	1.474731622	Tumor
TCGA-DD-A4NS-01A-11R-A311-07	4.773928135	Tumor
TCGA-5R-AA1D-01A-11R-A38B-07	6.972621971	Tumor
TCGA-BW-A5NO-01A-11R-A27V-07	2.597599533	Tumor
TCGA-DD-AADL-01A-11R-A41C-07	3.736691882	Tumor
TCGA-XR-A8TC-01A-11R-A36F-07	4.722162567	Tumor
TCGA-2Y-A9GS-01A-12R-A38B-07	2.747399379	Tumor
TCGA-CC-A1HT-01A-11R-A131-07	10.64508023	Tumor
TCGA-DD-AACL-01A-11R-A41C-07	3.148365304	Tumor
TCGA-ED-A7XP-01A-11R-A352-07	5.32260689	Tumor
TCGA-G3-AAUZ-01A-11R-A38B-07	0.331989457	Tumor
TCGA-DD-A3A5-01A-11R-A22L-07	1.162946204	Tumor
TCGA-RC-A7SK-01A-11R-A352-07	8.540835795	Tumor
TCGA-DD-A73D-01A-12R-A32O-07	0.197499984	Tumor
TCGA-RC-A6M5-01A-11R-A32O-07	7.671605907	Tumor
TCGA-G3-AAV4-01A-11R-A38B-07	0.819194536	Tumor
TCGA-2Y-A9H1-01A-11R-A38B-07	1.095029002	Tumor
TCGA-DD-AACI-01A-11R-A41C-07	7.236302934	Tumor
